intitulé	UD	UD-pos	ajout morph	UD-feats complet	commentaire
déterminant interrogatif pluriel féminin sujet	PRON	PronType=Int	Case=Nom|Gender=Fem|Number=Plur 	Case=Nom|Gender=Fem|Number=Plur|PronType=Int	
déterminant interrogatif pluriel féminin régime	PRON	PronType=Int	Case=Acc|Gender=Fem|Number=Plur	Case=Acc|Gender=Fem|Number=Plur|PronType=Int	
déterminant interrogatif singulier masculin sujet	PRON	PronType=Int	Case=Nom|Gender=Masc|Number=Sing 	Case=Nom|Gender=Masc|Number=Sing|PronType=Int	
déterminant interrogatif singulier masculin régime	PRON	PronType=Int	Case=Acc|Gender=Masc|Number=Sing	Case=Acc|Gender=Masc|Number=Sing|PronType=Int	
déterminant interrogatif pluriel masculin sujet	PRON	PronType=Int	Case=Nom|Gender=Masc|Number=Plur 	Case=Nom|Gender=Masc|Number=Plur|PronType=Int	
déterminant interrogatif pluriel masculin régime	PRON	PronType=Int	Case=Acc|Gender=Masc|Number=Plur	Case=Acc|Gender=Masc|Number=Plur|PronType=Int	
déterminant interrogatif singulier neutre sujet	PRON	PronType=Int	Case=Nom|Gender=Neut|Number=Sing 	Case=Nom|Gender=Neut|Number=Sing|PronType=Int	
déterminant interrogatif singulier neutre régime	PRON	PronType=Int	Case=Acc|Gender=Neut|Number=Sing	Case=Acc|Gender=Neut|Number=Sing|PronType=Int	
déterminant interrogatif pluriel neutre sujet	PRON	PronType=Int	Case=Nom|Gender=Neut|Number=Plur 	Case=Nom|Gender=Neut|Number=Plur|PronType=Int	
déterminant interrogatif pluriel neutre régime	PRON	PronType=Int	Case=Acc|Gender=Neut|Number=Plur	Case=Acc|Gender=Neut|Number=Plur|PronType=Int	
	PRON.PRON	PronType=Int.PronType=Prs			
pronom ordinal singulier féminin sujet	PRON	NumType=Ord	Case=Nom|Gender=Fem|Number=Sing	Case=Nom|Gender=Fem|Number=Sing|NumType=Ord	
pronom ordinal singulier féminin régime	PRON	NumType=Ord	Case=Acc|Gender=Fem|Number=Sing	Case=Acc|Gender=Fem|Number=Sing|NumType=Ord	
pronom ordinal pluriel féminin sujet	PRON	NumType=Ord	Case=Nom|Gender=Fem|Number=Plur 	Case=Nom|Gender=Fem|Number=Plur|NumType=Ord	
pronom ordinal pluriel féminin régime	PRON	NumType=Ord	Case=Acc|Gender=Fem|Number=Plur	Case=Acc|Gender=Fem|Number=Plur|NumType=Ord	
pronom ordinal singulier masculin sujet	PRON	NumType=Ord	Case=Nom|Gender=Masc|Number=Sing 	Case=Nom|Gender=Masc|Number=Sing|NumType=Ord	
pronom ordinal singulier masculin régime	PRON	NumType=Ord	Case=Acc|Gender=Masc|Number=Sing	Case=Acc|Gender=Masc|Number=Sing|NumType=Ord	
pronom ordinal pluriel masculin sujet	PRON	NumType=Ord	Case=Nom|Gender=Masc|Number=Plur 	Case=Nom|Gender=Masc|Number=Plur|NumType=Ord	
pronom ordinal pluriel masculin régime	PRON	NumType=Ord	Case=Acc|Gender=Masc|Number=Plur	Case=Acc|Gender=Masc|Number=Plur|NumType=Ord	
pronom ordinal singulier neutre sujet	PRON	NumType=Ord	Case=Nom|Gender=Neut|Number=Sing 	Case=Nom|Gender=Neut|Number=Sing|NumType=Ord	
pronom ordinal singulier neutre régime	PRON	NumType=Ord	Case=Acc|Gender=Neut|Number=Sing	Case=Acc|Gender=Neut|Number=Sing|NumType=Ord	
pronom ordinal pluriel neutre sujet	PRON	NumType=Ord	Case=Nom|Gender=Neut|Number=Plur 	Case=Nom|Gender=Neut|Number=Plur|NumType=Ord	
pronom ordinal pluriel neutre régime	PRON	NumType=Ord	Case=Acc|Gender=Neut|Number=Plur	Case=Acc|Gender=Neut|Number=Plur|NumType=Ord	
	PRON	PronType=Prs			
enclise pronom personnel et pronom adverbial	PRON.ADV	PronType=Prs.PronType=Dem	#valeursduproper#	#valeursduproper#.PronType=Dem	attention ici
enclise de deux pronoms personnels	PRON.PRON	PronType=Prs.PronType=Prs	#valeursduproper#.#valeursduproper#	#valeursduproper#.#valeursduproper#	attention ici
	PRON	Poss=Yes			
	PRON	PronType=Rel			
enclise pronom relatif et pronom adverbial	PRON.ADV	PronType=Rel.PronType=Dem	#valeursduprorel#	#valeursduprorel#.PronType=Dem	attention ici
enclise pronom relatif et pronom personnel	PRON.PRON	PronType=Rel.PronType=Prs	#valeursduprorel#.#valeursduproper#	#valeursduprorel#.#valeursduproper#	attention ici
	VERB	VerbForm=Fin	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin 		
	VERB	VerbForm=Inf	_	_	
	VERB	VerbForm=Part|Tense=Pres			
	VERB	VerbForm=Part|Tense=Past			
