form	POS	lemma	POSUD	ud-feats
,	PONfbl	,	PUNCT	_
se	CONsub	se	SCONJ	_
je	PROper	je	PRON	PronType=Prs
bien	ADVgen	bien1	ADV	_
i	PROadv	i2	ADV	_
metoie	VERcjg	metre2	VERB	VerbForm=Fin
paine	NOMcom	peine	NOUN	_
.	PONfrt	.	PUNCT	_
-	PONfbl	-	PUNCT	_
Si	ADVgen	si	ADV	_
estes	VERcjg	estre1	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
»	PONfbl	»	PUNCT	_
fait	VERcjg	faire	VERB	VerbForm=Fin
ele	PROper	il	PRON	PronType=Prs
,	PONfbl	,	PUNCT	_
«	PONfbl	«	PUNCT	_
se	PROdem	ce1	PRON	PronType=Dem
devient	VERcjg	devenir	VERB	VerbForm=Fin
;	PONfbl	;	PUNCT	_
mainte	DETind	maint	DET	PronType=Ind
plus	ADVgen	plus	ADV	_
grans	ADJqua	grant	ADJ	_
mervelle	NOMcom	merveille	NOUN	_
avient	VERcjg	avenir	VERB	VerbForm=Fin
et	CONcoo	et	CCONJ	_
autele	PROind	autel1	PRON	PronType=Ind
avenra	VERcjg	avenir	VERB	VerbForm=Fin
encore	ADVgen	encore	ADV	_
.	PONfrt	.	PUNCT	_
et	CONcoo	et	CCONJ	_
escouteit	VERppe	escouter	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Et	CONcoo	et	CCONJ	_
ma	DETpos	mon1	DET	Poss=Yes
clamour	NOMcom	clamor	NOUN	_
dont	PROrel	dont	PRON	PronType=Rel
j	PROper	je	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
ai	VERcjg	avoir	VERB	VerbForm=Fin
devant	ADVgen	devant	ADV	_
li	PROper	il	PRON	PronType=Prs
brait	VERppe	braire	VERB	VerbForm=Part|Tense=Past
et	CONcoo	et	CCONJ	_
crieit	VERppe	crïer2	VERB	VerbForm=Part|Tense=Past
est	VERcjg	estre1	VERB	VerbForm=Fin
entreie	VERppe	entrer	VERB	VerbForm=Part|Tense=Past
en	PRE	en1	ADP	_
ses	DETpos	son4	DET	Poss=Yes
oreilles	NOMcom	oreille	NOUN	_
.	PONfrt	.	PUNCT	_
Li	DETdef	le	DET	PronType=Art|Definite=Def
terre	NOMcom	terre	NOUN	_
est	VERcjg	estre1	VERB	VerbForm=Fin
toute	ADVgen	tot	ADV	_
meute	VERppe	movoir	VERB	VerbForm=Part|Tense=Past
et	CONcoo	et	CCONJ	_
ait	VERcjg	avoir	VERB	VerbForm=Fin
trembleit	VERppe	trembler1	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Li	DETdef	le	DET	PronType=Art|Definite=Def
fondemens	NOMcom	fondement	NOUN	_
des	PRE.DETdef	de+le	ADP.DET	_.PronType=Art|Definite=Yes
montaingnes	NOMcom	montaigne	NOUN	_
sont	VERcjg	estre1	VERB	VerbForm=Fin
meuz	VERppe	movoir	VERB	VerbForm=Part|Tense=Past
et	CONcoo	et	CCONJ	_
troubleiz	VERppe	torbler	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
quar	CONcoo	car	CCONJ	_
nostre	DETpos	nostre	DET	Poss=Yes
sires	NOMcom	seignor	NOUN	_
est	VERcjg	estre1	VERB	VerbForm=Fin
courrecieiz	VERppe	corrocier	VERB	VerbForm=Part|Tense=Past
à	PRE	a3	ADP	_
eulz	PROper	il	PRON	PronType=Prs
.	PONfrt	.	PUNCT	_
De	PRE	de	ADP	_
son	DETpos	son4	DET	Poss=Yes
ire	NOMcom	ire	NOUN	_
et	CONcoo	et	CCONJ	_
de	PRE	de	ADP	_
son	DETpos	son4	DET	Poss=Yes
courrouz	NOMcom	corroz	NOUN	_
est	VERcjg	estre1	VERB	VerbForm=Fin
issue	VERppe	issir	VERB	VerbForm=Part|Tense=Past
grant	ADJqua	grant	ADJ	_
fumee	NOMcom	fumee2	NOUN	_
et	CONcoo	et	CCONJ	_
feu	NOMcom	feu	NOUN	_
de	PRE	de	ADP	_
sa	DETpos	son4	DET	Poss=Yes
faice	NOMcom	feste2	NOUN	_
est	VERcjg	estre1	VERB	VerbForm=Fin
issus	VERppe	issir	VERB	VerbForm=Part|Tense=Past
touz	ADVgen	tot	ADV	_
enflammeiz	VERppe	enflamer	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
li	DETdef	le	DET	PronType=Art|Definite=Def
cherbons	NOMcom	charbon	NOUN	_
sont	VERcjg	estre1	VERB	VerbForm=Fin
d	PRE	de	ADP	_
’	PONfbl	’	PUNCT	_
ycelui	PROdem	icel	PRON	PronType=Dem
empris	VERppe	emprendre	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Il	PROper	il	PRON	PronType=Prs
ait	VERcjg	avoir	VERB	VerbForm=Fin
enclineit	VERppe	encliner	VERB	VerbForm=Part|Tense=Past
les	DETdef	le	DET	PronType=Art|Definite=Def
cielz	NOMcom	ciel	NOUN	_
et	CONcoo	et	CCONJ	_
est	VERcjg	estre1	VERB	VerbForm=Fin
descendus	VERppe	descendre	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Et	CONcoo	et	CCONJ	_
tenebres	NOMcom	tenebre	NOUN	_
et	CONcoo	et	CCONJ	_
obscurteit	NOMcom	oscurté	NOUN	_
desouz	PRE	desoz	ADP	_
ses	DETpos	son4	DET	Poss=Yes
pieiz	NOMcom	pié	NOUN	_
;	PONfbl	;	PUNCT	_
et	CONcoo	et	CCONJ	_
ait	VERcjg	avoir	VERB	VerbForm=Fin
monteit	VERppe	monter	VERB	VerbForm=Part|Tense=Past
per	PRE	par	ADP	_
dessus	PRE	desus	ADP	_
les	DETdef	le	DET	PronType=Art|Definite=Def
cherubins	NOMcom	cerubin	NOUN	_
et	CONcoo	et	CCONJ	_
ait	VERcjg	avoir	VERB	VerbForm=Fin
voleit	VERppe	voler	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Et	CONcoo	et	CCONJ	_
ait	VERcjg	avoir	VERB	VerbForm=Fin
voleit	VERppe	voler	VERB	VerbForm=Part|Tense=Past
sus	PRE	sus	ADP	_
les	DETdef	le	DET	PronType=Art|Definite=Def
pennes	NOMcom	pene	NOUN	_
et	CONcoo	et	CCONJ	_
les	DETdef	le	DET	PronType=Art|Definite=Def
aules	NOMcom	ele1	NOUN	_
des	PRE.DETdef	de+le	ADP.DET	_.PronType=Art|Definite=Yes
venz	NOMcom	vent	NOUN	_
;	PONfbl	;	PUNCT	_
Il	PROper	il	PRON	PronType=Prs
ait	VERcjg	avoir	VERB	VerbForm=Fin
mis	VERppe	metre2	VERB	VerbForm=Part|Tense=Past
tenebres	NOMcom	tenebre	NOUN	_
pour	PRE	por2	ADP	_
lui	PROper	il	PRON	PronType=Prs
reponre	VERinf	repondre	VERB	VerbForm=Inf
et	CONcoo	et	CCONJ	_
quaichieir	VERinf	cachier	VERB	VerbForm=Inf
tout	ADVgen	tot	ADV	_
entour	ADVgen	entor	ADV	_
de	PRE	de	ADP	_
son	DETpos	son4	DET	Poss=Yes
tabernaicle	NOMcom	tabernacle	NOUN	_
.	PONfrt	.	PUNCT	_
Yauve	NOMcom	aigue	NOUN	_
obscure	ADJqua	oscur	ADJ	_
et	CONcoo	et	CCONJ	_
tenebrouse	ADJqua	tenebros	ADJ	_
en	PRE	en1	ADP	_
nues	NOMcom	nüe	NOUN	_
de	PRE	de	ADP	_
l	DETdef	le	DET	PronType=Art|Definite=Def
’	PONfbl	’	PUNCT	_
air	NOMcom	air1	NOUN	_
.	PONfrt	.	PUNCT	_
Pour	PRE	por2	ADP	_
sa	DETpos	son4	DET	Poss=Yes
clarteit	NOMcom	clarté	NOUN	_
et	CONcoo	et	CCONJ	_
grant	ADJqua	grant	ADJ	_
resplendissour	NOMcom	resplendissor	NOUN	_
les	DETdef	le	DET	PronType=Art|Definite=Def
nues	NOMcom	nüe	NOUN	_
per	PRE	par	ADP	_
devant	ADVgen	devant	ADV	_
li	PROper	il	PRON	PronType=Prs
sont	VERcjg	estre1	VERB	VerbForm=Fin
passeies	VERppe	passer1	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Grelle	NOMcom	gresle	NOUN	_
et	CONcoo	et	CCONJ	_
cherbons	NOMcom	charbon	NOUN	_
de	PRE	de	ADP	_
feu	NOMcom	feu	NOUN	_
;	PONfbl	;	PUNCT	_
Et	CONcoo	et	CCONJ	_
nostre	DETpos	nostre	DET	Poss=Yes
sires	NOMcom	seignor	NOUN	_
Li	DETdef	le	DET	PronType=Art|Definite=Def
disseseptime	PROord	dissetisme	PRON	NumType=Ord
est	VERcjg	estre1	VERB	VerbForm=Fin
de	PRE	de	ADP	_
Ydone	NOMpro	Ydoine	PROPN	_
et	CONcoo	et	CCONJ	_
d	PRE	de	ADP	_
’	PONfbl	’	PUNCT	_
Amadas	NOMpro	Amadas	PROPN	_
;	PONfbl	;	PUNCT	_
li	DETdef	le	DET	PronType=Art|Definite=Def
dissewitisme	PROord	disuitisme	PRON	NumType=Ord
de	PRE	de	ADP	_
le	DETdef	le	DET	PronType=Art|Definite=Def
castelaine	NOMcom	chastelaine	NOUN	_
de	PRE	de	ADP	_
Vergi	NOMpro	Vergy	PROPN	_
;	PONfbl	;	PUNCT	_
li	DETdef	le	DET	PronType=Art|Definite=Def
dissenoevime	PROord	disnuevisme	PRON	NumType=Ord
de	PRE	de	ADP	_
saint	ADJqua	saint	ADJ	_
Estievene	NOMpro	Etienne	PROPN	_
;	PONfbl	;	PUNCT	_
le	DETdef	le	DET	PronType=Art|Definite=Def
vintisme	PROord	vintisme	PRON	NumType=Ord
est	VERcjg	estre1	VERB	VerbForm=Fin
des	PRE.DETdef	de+le	ADP.DET	_.PronType=Art|Definite=Yes
vers	NOMcom	vers1	NOUN	_
de	PRE	de	ADP	_
le	DETdef	le	DET	PronType=Art|Definite=Def
mort	NOMcom	mort	NOUN	_
;	PONfbl	;	PUNCT	_
li	DETdef	le	DET	PronType=Art|Definite=Def
vintëunime	PROord	vint-e-unisme	PRON	NumType=Ord
d’	PRE	de	ADP	_
une	DETndf	un	DET	PronType=Art|Definite=Ind
loënge	NOMcom	löenge	NOUN	_
Nostre	DETpos	nostre	DET	Poss=Yes
Dame	NOMpro	dame	PROPN	_
;	PONfbl	;	PUNCT	_
E	CONcoo	et	CCONJ	_
ciste	DETdem	cest	DET	PronType=Dem
branque	NOMcom	branche	NOUN	_
si	ADVgen	si	ADV	_
est	VERcjg	estre1	VERB	VerbForm=Fin
de	PRE	de	ADP	_
miracles	NOMcom	miracle	NOUN	_
Nostre	DETpos	nostre	DET	Poss=Yes
Dame	NOMpro	dame	PROPN	_
devant	ADVgen	devant	ADV	_
.	PONfrt	.	PUNCT	_
»	PONfbl	»	PUNCT	_
Quant	CONsub	cant1	SCONJ	_
li	DETdef	le	DET	PronType=Art|Definite=Def
preudom	NOMcom	prodome	NOUN	_
l	PROper	il	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
oi	VERcjg	öir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
si	ADVgen	si	ADV	_
s	PROper	soi1	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
en	PROadv	en2	ADV	_
esmiervilla	VERcjg	esmerveillier	VERB	VerbForm=Fin
moult	ADVgen	mout	ADV	_
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
puis	ADVgen	puis	ADV	_
mist	VERcjg	metre2	VERB	VerbForm=Fin
la	DETdef	le	DET	PronType=Art|Definite=Def
nuit	NOMcom	nuit	NOUN	_
en	PRE	en1	ADP	_
escrit	NOMcom	escrit	NOUN	_
si	ADVgen	si	ADV	_
comme	CONsub	come1	SCONJ	_
elle	PROper	il	PRON	PronType=Prs
li	PROper	il	PRON	PronType=Prs
ot	VERcjg	avoir	VERB	VerbForm=Fin
conté	VERppe	conter	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
dist	VERcjg	dire	VERB	VerbForm=Fin
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
Toute	ADVgen	tot	ADV	_
seure	ADJqua	sëur2	ADJ	_
soiiés	VERcjg	estre1	VERB	VerbForm=Fin
.	PONfrt	.	PUNCT	_
Quant	CONsub	cant1	SCONJ	_
chis	DETdem	cest	DET	PronType=Dem
oirs	NOMcom	oir	NOUN	_
qui	PROrel	qui	PRON	PronType=Rel
dedens	PRE	dedenz	ADP	_
toi	PROper	tu	PRON	PronType=Prs
naistera	VERcjg	naistre	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
je	PROper	je	PRON	PronType=Prs
savrai	VERcjg	savoir	VERB	VerbForm=Fin
bien	ADVgen	bien1	ADV	_
se	CONsub	se	SCONJ	_
tu	PROper	tu	PRON	PronType=Prs
m	PROper	je	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
a	VERcjg	avoir	VERB	VerbForm=Fin
voir	ADVgen	voir	ADV	_
dit	VERppe	dire	VERB	VerbForm=Part|Tense=Past
u	CONcoo	o3	CCONJ	_
menti	VERppe	mentir	VERB	VerbForm=Part|Tense=Past
et	CONcoo	et	CCONJ	_
j	PROper	je	PRON	PronType=Prs
 ’	PONfbl	’	PUNCT	_
a	VERcjg	avoir	VERB	VerbForm=Fin
bien	ADVgen	bien1	ADV	_
creanche	NOMcom	crëance	NOUN	_
en	PRE	en1	ADP	_
Dieu	NOMpro	Dieu	PROPN	_
que	CONsub	que4	SCONJ	_
,	PONfbl	,	PUNCT	_
se	CONsub	se	SCONJ	_
che	PROdem	ce1	PRON	PronType=Dem
est	VERcjg	estre1	VERB	VerbForm=Fin
voirs	ADJqua	voir	ADJ	_
ensi	ADVgen	ainsi	ADV	_
que	CONsub	que4	SCONJ	_
tu	PROper	tu	PRON	PronType=Prs
le	PROper	il	PRON	PronType=Prs
m	PROper	je	PRON	PronType=Prs
’	PONfbl	’	PUNCT	_
as	VERcjg	avoir	VERB	VerbForm=Fin
dit	VERppe	dire	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
que	CONsub	que4	SCONJ	_
tu	PROper	tu	PRON	PronType=Prs
n’	ADVneg	ne1	ADV	PronType=Neg
averas	VERcjg	avoir	VERB	VerbForm=Fin
ja	ADVgen	ja	ADV	_
garde	NOMcom	garde	NOUN	_
de	PRE	de	ADP	_
mort	NOMcom	mort	NOUN	_
.	PONfrt	.	PUNCT	_
Les	DETdef	le	DET	PronType=Art|Definite=Def
granz	ADJqua	grant	ADJ	_
paours	NOMcom	pëor	NOUN	_
en	PROadv	en2	ADV	_
porras	VERcjg	pöoir	VERB	VerbForm=Fin
tu	PROper	tu	PRON	PronType=Prs
bien	ADVgen	bien1	ADV	_
avoir	VERinf	avoir	VERB	VerbForm=Inf
.	PONfrt	.	PUNCT	_
Quant	CONsub	cant1	SCONJ	_
li	DETdef	le	DET	PronType=Art|Definite=Def
juge	NOMcom	juge	NOUN	_
le	PROper	il	PRON	PronType=Prs
savront	VERcjg	savoir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
il	PROper	il	PRON	PronType=Prs
te	PROper	tu	PRON	PronType=Prs
prendront	VERcjg	prendre	VERB	VerbForm=Fin
pour	PRE	por2	ADP	_
avoir	VERinf	avoir	VERB	VerbForm=Inf
tes	DETpos	ton4	DET	Poss=Yes
biaus	ADJqua	bel1	ADJ	_
edefis	NOMcom	edefiz	NOUN	_
,	PONfbl	,	PUNCT	_
à	PRE	a3	ADP	_
sa	DETpos	son4	DET	Poss=Yes
mere	NOMcom	mere	NOUN	_
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
Est	VERcjg	estre1	VERB	VerbForm=Fin
che	PROdem	ce1	PRON	PronType=Dem
voirs	ADJqua	voir	ADJ	_
que	PROrel	que2	PRON	PronType=Rel
il	PROper	il	PRON	PronType=Prs
dist	VERcjg	dire	VERB	VerbForm=Fin
?	PONfrt	?	PUNCT	_
»	PONfbl	»	PUNCT	_
et	CONcoo	et	CCONJ	_
la	DETdef	le	DET	PronType=Art|Definite=Def
mere	NOMcom	mere	NOUN	_
respont	VERcjg	respondre1	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
qui	PROrel	qui	PRON	PronType=Rel
moult	ADVgen	mout	ADV	_
fu	VERcjg	estre1	VERB	VerbForm=Fin
espoentee	VERppe	espöenter	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
et	CONcoo	et	CCONJ	_
dist	VERcjg	dire	VERB	VerbForm=Fin
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
Biaus	ADJqua	bel1	ADJ	_
fieus	NOMcom	fil2	NOUN	_
,	PONfbl	,	PUNCT	_
creés	VERcjg	croire	VERB	VerbForm=Fin
dont	ADVgen	donc	ADV	_
chou	PROdem	ce1	PRON	PronType=Dem
que	PROrel	que2	PRON	PronType=Rel
cis	DETdem	cest	DET	PronType=Dem
dyables	NOMcom	dïable	NOUN	_
dist	VERcjg	dire	VERB	VerbForm=Fin
?	PONfrt	?	PUNCT	_
»	PONfbl	»	PUNCT	_
Et	CONcoo	et	CCONJ	_
Merlins	NOMpro	Merlin	PROPN	_
dist	VERcjg	dire	VERB	VerbForm=Fin
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
se	CONsub	se	SCONJ	_
vous	PROper	vos	PRON	PronType=Prs
nel	ADVneg.PROper	ne1+il	ADV.PRON	PronType=Neg.PronType=Prs
connissiés	VERcjg	conoistre	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
je	PROper	je	PRON	PronType=Prs
vous	PROper	vos	PRON	PronType=Prs
dirai	VERcjg	dire	VERB	VerbForm=Fin
encore	ADVgen	encore	ADV	_
a	OUT	leçon-rejetée	X	_
autre	DETind	autre	DET	PronType=Ind
chose	NOMcom	chose	NOUN	_
que	PROrel	que2	PRON	PronType=Rel
vous	PROper	vos	PRON	PronType=Prs
savés	VERcjg	savoir	VERB	VerbForm=Fin
bien	ADVgen	bien1	ADV	_
et	CONcoo	et	CCONJ	_
voirs	ADJqua	voir	ADJ	_
est	VERcjg	estre1	VERB	VerbForm=Fin
.	PONfrt	.	PUNCT	_
»	PONfbl	»	PUNCT	_
Et	CONcoo	et	CCONJ	_
la	DETdef	le	DET	PronType=Art|Definite=Def
dame	NOMcom	dame	NOUN	_
se	PROper	soi1	PRON	PronType=Prs
taist	VERcjg	taire	VERB	VerbForm=Fin
.	PONfrt	.	PUNCT	_
Et	CONcoo	et	CCONJ	_
Merlins	NOMpro	Merlin	PROPN	_
dist	VERcjg	dire	VERB	VerbForm=Fin
:	PONfbl	:	PUNCT	_
«	PONfbl	«	PUNCT	_
Je	PROper	je	PRON	PronType=Prs
sai	VERcjg	savoir	VERB	VerbForm=Fin
canques	PROrel	cantque	PRON	PronType=Rel
il	PROper	il	PRON	PronType=Prs
i	PROadv	i2	ADV	_
ot	VERcjg	avoir	VERB	VerbForm=Fin
fait	VERppe	faire	VERB	VerbForm=Part|Tense=Past
et	CONcoo	et	CCONJ	_
dit	VERppe	dire	VERB	VerbForm=Part|Tense=Past
.	PONfrt	.	PUNCT	_
Voirs	ADJqua	voir	ADJ	_
est	VERcjg	estre1	VERB	VerbForm=Fin
que	CONsub	que4	SCONJ	_
quant	CONsub	cant1	SCONJ	_
vous	PROper	vos	PRON	PronType=Prs
vous	PROper	vos	PRON	PronType=Prs
sentistes	VERcjg	sentir	VERB	VerbForm=Fin
grosse	ADJqua	gros	ADJ	_
,	PONfbl	,	PUNCT	_
vous	PROper	vos	PRON	PronType=Prs
fesistes	VERcjg	faire	VERB	VerbForm=Fin
querre	VERinf	querre	VERB	VerbForm=Inf
le	DETdef	le	DET	PronType=Art|Definite=Def
pais	NOMcom	pais	NOUN	_
de	PRE	de	ADP	_
vostre	DETpos	vostre	DET	Poss=Yes
signour	NOMcom	seignor	NOUN	_
à	PRE	a3	ADP	_
vostre	DETpos	vostre	DET	Poss=Yes
prestre	NOMcom	prestre	NOUN	_
,	PONfbl	,	PUNCT	_
pour	PRE	por2	ADP	_
chou	PROdem	ce1	PRON	PronType=Dem
que	CONsub	que4	SCONJ	_
vous	PROper	vos	PRON	PronType=Prs
vous	PROper	vos	PRON	PronType=Prs
voliés	VERcjg	voloir	VERB	VerbForm=Fin
couvrir	VERinf	covrir	VERB	VerbForm=Inf
que	CONsub	que4	SCONJ	_
vous	PROper	vos	PRON	PronType=Prs
fussiés	VERcjg	estre1	VERB	VerbForm=Fin
grosse	ADJqua	gros	ADJ	_
de	PRE	de	ADP	_
lui	PROper	il	PRON	PronType=Prs
,	PONfbl	,	PUNCT	_
N	ADVneg	ne1	ADV	PronType=Neg
’	PONfbl	’	PUNCT	_
est	VERcjg	estre1	VERB	VerbForm=Fin
pas	ADVneg	pas	ADV	PronType=Neg
mervelles	NOMcom	merveille	NOUN	_
,	PONfbl	,	PUNCT	_
vilain	NOMcom	vilain	NOUN	_
,	PONfbl	,	PUNCT	_
se	CONsub	se	SCONJ	_
tu	PROper	tu	PRON	PronType=Prs
ies	VERcjg	estre1	VERB	VerbForm=Fin
rice	ADJqua	riche	ADJ	_
.	PONfrt	.	PUNCT	_
»	PONfbl	»	PUNCT	_
Oiés	VERcjg	öir	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
seignor	NOMcom	seignor	NOUN	_
,	PONfbl	,	PUNCT	_
Diex	NOMpro	Dieu	PROPN	_
vos	PROper	vos	PRON	PronType=Prs
croisse	VERcjg	croistre	VERB	VerbForm=Fin
bonté	NOMcom	bonté	NOUN	_
,	PONfbl	,	PUNCT	_
li	DETdef	le	DET	PronType=Art|Definite=Def
glorious	ADJqua	glorïos	ADJ	_
qui	PROrel	qui	PRON	PronType=Rel
en	PRE	en1	ADP	_
crois	NOMcom	croiz	NOUN	_
fu	VERcjg	estre1	VERB	VerbForm=Fin
pené	VERppe	pener	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
s	ADVgen	si	ADV	_
’	PONfbl	’	PUNCT	_
orrés	VERcjg	öir	VERB	VerbForm=Fin
canchon	NOMcom	chançon	NOUN	_
de	PRE	de	ADP	_
grant	ADJqua	grant	ADJ	_
nobilité	NOMcom	nobilité	NOUN	_
;	PONfbl	;	PUNCT	_
molt	ADVgen	mout	ADV	_
est	VERcjg	estre1	VERB	VerbForm=Fin
Guillelmes	NOMpro	Guilaume	PROPN	_
en	PRE	en1	ADP	_
grant	ADJqua	grant	ADJ	_
peril	NOMcom	peril	NOUN	_
entresque	PRE	entresque	ADP	_
rois	NOMcom	roi2	NOUN	_
Otran	NOMpro	Otran	PROPN	_
est	VERcjg	estre1	VERB	VerbForm=Fin
molt	ADVgen	mout	ADV	_
desmesurés	VERppe	desmesurer	VERB	VerbForm=Part|Tense=Past
,	PONfbl	,	PUNCT	_
plus	ADVgen	plus	ADV	_
felons	ADJqua	felon	ADJ	_
ne	ADVneg	ne1	ADV	PronType=Neg
puet	VERcjg	pöoir	VERB	VerbForm=Fin
estre	VERinf	estre1	VERB	VerbForm=Inf
trovés	VERppe	trover	VERB	VerbForm=Part|Tense=Past
ne	CONcoo	ne2	CCONJ	_
miels	ADVgen	mieus	ADV	_
volsist	VERcjg	voloir	VERB	VerbForm=Fin
justichier	VERinf	justicier1	VERB	VerbForm=Inf
son	DETpos	son4	DET	Poss=Yes
regne	NOMcom	regne	NOUN	_
.	PONfrt	.	PUNCT	_
Guillelmes	NOMpro	Guilaume	PROPN	_
esgarde	VERcjg	esgarder	VERB	VerbForm=Fin
,	PONfbl	,	PUNCT	_
se	ADVgen	si	ADV	_
li	PROper	il	PRON	PronType=Prs
a	VERcjg	avoir	VERB	VerbForm=Fin
